kdrama_name,original_networks
"['historical', 'comedy', 'romance', 'drama']",tvN
"['comedy', 'romance', 'life']",tvN
"['food', 'romance', 'drama']",jTBC
"['romance', 'life', 'drama', 'fantasy']",jTBC
"['romance', 'youth']",NA
"['thriller', 'mystery', 'drama', 'fantasy']",MBC
"['food', 'romance', 'drama', 'family']",MBC
"['military', 'historical', 'life', 'drama', 'political']",MBC
"['action', 'comedy', 'romance', 'crime']",MBC
"['mystery', 'psychological', 'romance', 'medical']",KBS
"['romance', 'drama', 'family', 'melodrama']",tvN
"['comedy', 'romance', 'family', 'melodrama']",MBC
"['comedy', 'romance', 'drama', 'melodrama']",SBS
"['mystery', 'romance', 'supernatural']",SBS
"['comedy', 'romance', 'fantasy', 'supernatural']",MBC
"['romance', 'drama', 'melodrama']",KBS
"['romance', 'drama', 'family']",MBC
"['horror', 'comedy', 'romance', 'fantasy']",Netflix
"['horror', 'comedy', 'romance', 'fantasy']", tvN
"['romance', 'drama', 'family']",MBC
"['comedy', 'romance', 'life', 'youth']",Daum Kakao TV
"['comedy', 'romance', 'life', 'youth']", Netflix
"['thriller', 'mystery', 'crime', 'drama']",Netflix
"['business', 'law', 'drama']",MBC
"['romance', 'life', 'drama', 'melodrama']",tvN
"['business', 'romance', 'drama', 'melodrama']",KBS
"['romance', 'life', 'family', 'melodrama']",MBC
"['romance', 'life', 'drama', 'medical']",tvN
"['psychological', 'romance', 'youth', 'drama']",NA
"['thriller', 'mystery', 'psychological', 'drama']",OCN
"['romance', 'drama', 'family']",KBS
"['romance', 'melodrama']",SBS
"['romance', 'drama', 'family']",MBC
"['thriller', 'mystery', 'romance', 'fantasy']",Netflix
"['business', 'comedy', 'romance']",tvN
"['comedy', 'romance', 'life', 'youth']",Naver TV Cast
"['comedy', 'romance', 'life', 'youth']", vLive
"['comedy', 'romance', 'youth', 'drama']",Naver TV Cast
"['comedy', 'romance', 'youth', 'drama']", vLive
"['music', 'romance', 'fantasy', 'melodrama']",tvN
"['mystery', 'comedy', 'romance', 'fantasy']",Netflix
"['mystery', 'comedy', 'romance', 'fantasy']", tvN
"['business', 'comedy', 'romance', 'drama']",KBS
"['thriller', 'mystery', 'drama']",tvN
"['comedy', 'romance', 'youth']",TVING
['romance'],SBS
"['action', 'thriller', 'mystery', 'supernatural']",Naver TV Cast
"['mystery', 'law', 'drama', 'fantasy']",SBS
"['mystery', 'law', 'drama', 'fantasy']", ViuTV
"['military', 'historical', 'drama', 'political']",KBS
"['business', 'life', 'drama']",jTBC
"['action', 'romance', 'drama']",MBC
"['action', 'historical', 'romance', 'fantasy']",Netflix
"['action', 'historical', 'romance', 'fantasy']", tvN
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",SBS
"['comedy', 'romance', 'political']",SBS
"['romance', 'drama', 'family', 'melodrama']",KBS
"['comedy', 'romance', 'political']",SBS
"['romance', 'crime', 'drama', 'melodrama']",SBS
['romance'],MBC
"['action', 'thriller', 'horror', 'sci-fi']",Netflix
"['romance', 'youth']",TVING
"['comedy', 'romance', 'life', 'drama']",SBS
"['adventure', 'life', 'fantasy', 'melodrama']",Daum Kakao TV
"['romance', 'drama']",SBS
"['comedy', 'romance', 'youth', 'melodrama']",KBS
"['historical', 'mystery']",EChannel
"['romance', 'medical', 'melodrama']",SBS
"['romance', 'drama']",MBC
"['comedy', 'romance', 'drama', 'fantasy']",KBS
"['romance', 'drama', 'melodrama']",KBS
"['comedy', 'drama', 'melodrama']",MBC
"['thriller', 'drama']",NA
"['comedy', 'romance', 'melodrama', 'supernatural']",tvN
"['comedy', 'romance', 'life', 'drama']",Naver TV Cast
"['romance', 'drama']",MBC
"['romance', 'drama', 'melodrama']",KBS
"['historical', 'comedy', 'romance', 'supernatural']",MBC
